日付,始値,高値,安値,終値
"2021年07月15日 12:00","109.876","109.913","109.84","109.851"
"2021年07月15日 13:00","109.851","109.89","109.821","109.887"
"2021年07月15日 14:00","109.887","109.888","109.828","109.837"
"2021年07月15日 15:00","109.835","109.866","109.746","109.855"
"2021年07月15日 16:00","109.855","109.862","109.745","109.763"
"2021年07月15日 17:00","109.763","109.811","109.711","109.745"
"2021年07月15日 18:00","109.744","109.796","109.724","109.791"
"2021年07月15日 19:00","109.791","109.981","109.788","109.971"
"2021年07月15日 20:00","109.971","110.038","109.93","109.989"
"2021年07月15日 21:00","109.989","110.085","109.984","110.062"
"2021年07月15日 22:00","110.061","110.081","109.84","109.893"
"2021年07月15日 23:00","109.894","110.044","109.876","110.026"
"2021年07月16日 00:00","110.027","110.065","109.97","110.052"
"2021年07月16日 01:00","110.052","110.059","110.022","110.037"
"2021年07月16日 02:00","110.038","110.045","109.865","109.871"
"2021年07月16日 03:00","109.872","109.891","109.811","109.816"
"2021年07月16日 04:00","109.817","109.832","109.779","109.786"
"2021年07月16日 05:00","109.786","109.854","109.776","109.813"
"2021年07月16日 06:00","109.8","109.859","109.783","109.816"
"2021年07月16日 07:00","109.827","109.842","109.794","109.817"
"2021年07月16日 08:00","109.817","109.822","109.759","109.777"
"2021年07月16日 09:00","109.777","109.895","109.728","109.877"
"2021年07月16日 10:00","109.878","110.011","109.852","109.987"
"2021年07月16日 11:00","109.985","110.065","109.971","109.982"
"2021年07月16日 12:00","109.982","110.03","109.935","109.948"
"2021年07月16日 13:00","109.948","110.024","109.941","110.004"
"2021年07月16日 14:00","110.003","110.009","109.935","109.983"
"2021年07月16日 15:00","109.983","110.004","109.94","109.977"
"2021年07月16日 16:00","109.977","110.215","109.929","110.155"
"2021年07月16日 17:00","110.155","110.158","110.071","110.08"
"2021年07月16日 18:00","110.08","110.129","110.052","110.1"
"2021年07月16日 19:00","110.099","110.235","110.099","110.224"
"2021年07月16日 20:00","110.224","110.234","110.145","110.194"
"2021年07月16日 21:00","110.194","110.334","110.156","110.312"
"2021年07月16日 22:00","110.312","110.338","110.163","110.217"
"2021年07月16日 23:00","110.218","110.224","110.082","110.098"
"2021年07月17日 00:00","110.098","110.173","110.079","110.125"
"2021年07月17日 01:00","110.126","110.14","110.08","110.099"
"2021年07月17日 02:00","110.099","110.101","110.031","110.079"
"2021年07月17日 03:00","110.079","110.101","110.034","110.072"
"2021年07月17日 04:00","110.068","110.091","110.045","110.051"
"2021年07月17日 05:00","110.052","110.084","110.029","110.048"
"2021年07月19日 07:00","110.02","110.089","109.972","109.983"
"2021年07月19日 08:00","109.983","109.983","109.845","109.872"
"2021年07月19日 09:00","109.872","109.933","109.847","109.865"
"2021年07月19日 10:00","109.864","109.926","109.847","109.919"
"2021年07月19日 11:00","109.918","109.942","109.894","109.92"
"2021年07月19日 12:00","109.92","109.957","109.899","109.95"
"2021年07月19日 13:00","109.95","109.958","109.891","109.912"
"2021年07月19日 14:00","109.911","109.957","109.895","109.941"
"2021年07月19日 15:00","109.941","110.029","109.927","110.021"
"2021年07月19日 16:00","110.021","110.026","109.784","109.839"
"2021年07月19日 17:00","109.839","109.897","109.699","109.729"
"2021年07月19日 18:00","109.729","109.831","109.719","109.794"
"2021年07月19日 19:00","109.794","109.815","109.711","109.812"
"2021年07月19日 20:00","109.811","109.825","109.604","109.66"
"2021年07月19日 21:00","109.661","109.668","109.425","109.471"
"2021年07月19日 22:00","109.471","109.474","109.06","109.2"
"2021年07月19日 23:00","109.2","109.437","109.111","109.352"
"2021年07月20日 00:00","109.352","109.57","109.351","109.46"
"2021年07月20日 01:00","109.46","109.464","109.335","109.382"
"2021年07月20日 02:00","109.382","109.459","109.38","109.438"
"2021年07月20日 03:00","109.438","109.482","109.423","109.466"
"2021年07月20日 04:00","109.466","109.506","109.43","109.476"
"2021年07月20日 05:00","109.476","109.495","109.345","109.345"
"2021年07月20日 06:00","109.325","109.485","109.322","109.452"
"2021年07月20日 07:00","109.456","109.503","109.448","109.483"
"2021年07月20日 08:00","109.483","109.556","109.477","109.524"
"2021年07月20日 09:00","109.524","109.568","109.47","109.501"
"2021年07月20日 10:00","109.5","109.565","109.475","109.497"
"2021年07月20日 11:00","109.498","109.564","109.473","109.549"
"2021年07月20日 12:00","109.549","109.599","109.368","109.43"
"2021年07月20日 13:00","109.43","109.477","109.362","109.452"
"2021年07月20日 14:00","109.452","109.529","109.439","109.486"
"2021年07月20日 15:00","109.485","109.559","109.456","109.559"
"2021年07月20日 16:00","109.559","109.702","109.54","109.624"
"2021年07月20日 17:00","109.625","109.741","109.596","109.612"
"2021年07月20日 18:00","109.612","109.614","109.379","109.43"
"2021年07月20日 19:00","109.43","109.436","109.323","109.423"
"2021年07月20日 20:00","109.424","109.601","109.399","109.587"
"2021年07月20日 21:00","109.586","109.621","109.425","109.523"
"2021年07月20日 22:00","109.524","109.601","109.351","109.583"
"2021年07月20日 23:00","109.583","109.945","109.561","109.919"
"2021年07月21日 00:00","109.918","109.953","109.862","109.91"
"2021年07月21日 01:00","109.91","109.93","109.826","109.895"
"2021年07月21日 02:00","109.894","109.92","109.832","109.841"
"2021年07月21日 03:00","109.841","109.859","109.811","109.818"
"2021年07月21日 04:00","109.817","109.882","109.807","109.822"
"2021年07月21日 05:00","109.823","109.866","109.816","109.835"
"2021年07月21日 06:00","109.8","109.875","109.792","109.853"
"2021年07月21日 07:00","109.848","109.877","109.841","109.865"
"2021年07月21日 08:00","109.865","109.929","109.859","109.915"
"2021年07月21日 09:00","109.915","109.968","109.856","109.957"
"2021年07月21日 10:00","109.957","109.976","109.879","109.925"
"2021年07月21日 11:00","109.925","109.93","109.85","109.892"
"2021年07月21日 12:00","109.892","109.918","109.858","109.889"
"2021年07月21日 13:00","109.889","109.913","109.864","109.874"
"2021年07月21日 14:00","109.874","109.906","109.869","109.9"
"2021年07月21日 15:00","109.9","109.924","109.798","109.923"
"2021年07月21日 16:00","109.923","110.007","109.889","109.99"